label,num_queries,hit@1,hit@5,hit@10,mrr,all_hit@10,avg_embed_time_ms,avg_retrieval_time_ms,avg_total_time_ms,p50_total_time_ms,p95_total_time_ms,p95_embed_time_ms,p95_retrieval_time_ms,p99_total_time_ms,memory_delta_mb,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,map@1,map@5,map@10,top_k_accuracy@1,top_k_accuracy@5,top_k_accuracy@10,P_1,P_5,P_10,recall_1,recall_5,recall_10,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,map_cut_1,map_cut_5,map_cut_10,top_k_accuracy_1,top_k_accuracy_5,top_k_accuracy_10,avg_stage1_bbq_search_ms,avg_stage2_load_vectors_ms,avg_stage3_rescore_ms,avg_stage4_sort_ms,rescore_multiplier
single:float32,70,0.35714285714285715,0.5571428571428572,0.6428571428571429,0.44021541950113374,0.02857142857142857,455.51011944319595,90.20191142881231,545.7120308720083,511.92215049923107,723.3204319520155,630.36578290139,106.9537653000225,1190.9120220685513,8.375,0.35714285714285715,0.19714285714285712,0.15,0.08577097505668936,0.22057256235827663,0.3118197278911565,0.35714285714285715,0.2656755001663551,0.2955423830883469,0.08577097505668936,0.17175907029478457,0.20392505309001904,0.35714285714285715,0.5571428571428572,0.6428571428571429,0.35714285714285715,0.19714285714285712,0.15,0.08577097505668936,0.22057256235827663,0.3118197278911565,0.35714285714285715,0.2656755001663551,0.2955423830883469,0.08577097505668936,0.17175907029478457,0.20392505309001904,0.35714285714285715,0.5571428571428572,0.6428571428571429,,,,,
single:int8,70,0.38571428571428573,0.5714285714285714,0.6714285714285714,0.4637698412698414,0.02857142857142857,476.237781771124,98.25588045688554,574.4936622280095,523.7841274974926,911.5095130009641,808.943504701164,115.25042324901733,1352.681412029197,-2.9765625,0.38571428571428573,0.19714285714285712,0.1542857142857143,0.09529478458049886,0.22485827664399094,0.3255102040816326,0.38571428571428573,0.2743485866776723,0.30917616025519035,0.09529478458049886,0.17894954648526076,0.21356702839866107,0.38571428571428573,0.5714285714285714,0.6714285714285714,0.38571428571428573,0.19714285714285712,0.1542857142857143,0.09529478458049886,0.22485827664399094,0.3255102040816326,0.38571428571428573,0.2743485866776723,0.30917616025519035,0.09529478458049886,0.17894954648526076,0.21356702839866107,0.38571428571428573,0.5714285714285714,0.6714285714285714,,,,,
single:bbq_only,70,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.45396825396825397,0.02857142857142857,544.9389372716333,110.5665324572848,655.5054697289181,567.4669565014483,916.39387534924,796.7262785499767,171.7134365017045,2828.135202170783,0.375,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,,,,,
two_stage:bbq+float_m1,70,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.45396825396825397,0.02857142857142857,470.6060882284614,351.37497967147544,821.9810678999368,799.1096810019371,1035.4178216002765,642.5214086995765,495.95558364635497,1140.4128029593269,2.1953125,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,88.19432777153062,263.01756594283296,0.11326605703548662,0.04981990007633742,1.0
two_stage:bbq+float_m2,70,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.45396825396825397,0.02857142857142857,521.1729289571459,523.0963446860967,1044.2692736432425,996.4441680021991,1432.8582069041659,779.1779808989301,829.9106255984951,1964.3971729269836,2.33203125,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,110.9348577142165,411.9687663573651,0.1352526429920025,0.0574679715230429,2.0
two_stage:bbq+float_m4,70,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.45396825396825397,0.02857142857142857,513.4833470427631,829.6530325563383,1343.1363795991015,1284.7961030001898,1815.6174912997812,760.7465563991353,1182.0850561967743,2121.9174412682337,3.03515625,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,0.37142857142857144,0.19999999999999998,0.15142857142857138,0.09291383219954649,0.22771541950113378,0.3189625850340136,0.37142857142857144,0.27422241331542785,0.3042655618596321,0.09291383219954649,0.17875907029478458,0.21119621711118308,0.37142857142857144,0.5714285714285714,0.6571428571428571,132.03192678567055,697.4567349711704,0.11221931376245006,0.05215148573500171,4.0
two_stage:bbq+float_m8,70,0.37142857142857144,0.5714285714285714,0.6714285714285714,0.45646825396825397,0.02857142857142857,546.1439374142564,1384.477517214743,1930.6214546289993,1773.1553845023882,3174.3935998518273,901.5258935496604,1770.1962069515503,3698.2047754634914,7.15234375,0.37142857142857144,0.19999999999999998,0.15285714285714286,0.09291383219954649,0.22771541950113378,0.32372448979591834,0.37142857142857144,0.2745162069434735,0.3066742262802911,0.09291383219954649,0.17899716553287984,0.2120295504445164,0.37142857142857144,0.5714285714285714,0.6714285714285714,0.37142857142857144,0.19999999999999998,0.15285714285714286,0.09291383219954649,0.22771541950113378,0.32372448979591834,0.37142857142857144,0.2745162069434735,0.3066742262802911,0.09291383219954649,0.17899716553287984,0.2120295504445164,0.37142857142857144,0.5714285714285714,0.6714285714285714,154.72068037171474,1229.5241289859925,0.1779448286729998,0.054763028362815803,8.0
